,Company,HQ,Address**,City,ST,ZIP,County,Phone,Website,NAICS Code,Industry,Function,Source,St. Louis Employees,year
367,Standard Machine & Manufacturing,St. Louis MSA,10014 Big Bend Blvd.,St. Louis,MO,63122,St. Louis,(314) 966-4500,,331,Manufacturing,Steel & Metal Products,3,430,2017
368,The Dial Corporation,,6901 McKissock,St. Louis,MO,63147,St. Louis County,(314) 382-8535,,325,Manufacturing,Chemical Manufacturing,5,430,2017
369,St. Louis Justice Center,St. Louis MSA,200 S. Tucker Blvd,St. Louis,MO,63102,City of St. Louis,(314) 621-5848,,922140,Public Administration,Agencies & Facilities - Correctional,3,428,2017
370,Challenge Unlimited Inc,St. Louis MSA,110 Industrial Dr,Granite City,IL,62040-6803,Madison County,(618) 876-4145,www.cuinc.org,624310,Health Care & Social Assistance,Job Training/Related Services Employment Agency,9,425,2017
371,Kindred Healthcare Operating,,4930 Lindell Blvd,St. Louis,MO,63108-1510,City of St. Louis,(314) 361-8700,www.kindredhealthcare.com,622110,Health Care & Social Assistance,General Hospital Specialty Hospital,8,425,2017
372,JF Electric Inc.,,100 Lakefront Pkwy.,Edwardsville,IL,62025,Madison County,(618) 797-5353,www.jfelectric.com,235310,Construction,Specialty Contractors - Electrical,6,421,2017
373,Abbott Ambulance Inc. ,St. Louis MSA,2500 Abbott Place,St. Louis,MO,63143,St. Louis County,(314) 768-1000,www.abbottems.org,621910,Health Care & Social Assistance,Ambulance service,8,420,2017
374,Chase Park Plaza Hotel,St. Louis MSA,212 N. Kingshighway Blvd.,St. Louis,MO,63108,City of St. Louis,(314) 633-3000,www.chaseparkplaza.com,7211110,Accommodation & Food Services,Hotel,3,420,2017
375,Mallinckrodt Institute of Radiology,,18 S. Kingshighway Blvd.,St. Louis,MO,63108,City of St. Louis,(314) 362-7100,www.mir.wustl.edu,541710,Educational Services,Research Centers,3,420,2017
376,St. Louis Public Utilities Department,St. Louis MSA,1640 S. Kingshighway Blvd,St. Louis,MO,63110,City of St. Louis,(314) 664-8070,,221310,Utilities,Water Supply,3,420,2017
377,Envision LLC,,6 City Place Drive,St. Louis,MO,63141,St. Louis County,(314) 878-4777,www.envision.com,,Professional & Scientific & Technical Services,IT Staffing,6,416,2017
378,National Information Solutions Cooperative ,St. Louis MSA,One Innovation Circle,Lake St. Louis,MO,63367,St. Charles County,(866) 999-6472,www.nisc.coop,,Information,Software,"3,7",416,2017
379,Basler Electric Co. ,St. Louis MSA,12570 State Route 143,Highland,IL,62249,Madison County,(618) 654-2341,www.basler.com,,Manufacturing,Electrical components,5,410,2017
380,Eastman Chemical,,575 Maryville Centre Dr.,St. Louis,MO,63141,St. Louis County,(314) 674-1000,www.solutia.com,325221,Manufacturing,Chemical Manufacturing,5,410,2017
381,National Healthcare Corp,,2920 Fee Fee Rd,Maryland Heights,MO,63043-1999,St. Louis County,(314) 291-0121,http://nhccare.com,623311,Health Care & Social Assistance,Skilled Nursing Care Facility Intermediate Care Facility,1,409,2017
382,Metal Container Corp,,42 Tenbrook Industrial Pa,Arnold,MO,63010-3128,Jefferson County,(636) 296-2002,www.anheuser-busch.com,332431,Manufacturing,Manufactures metal cans,1,405,2017
383,Beverly Farm Foundation ,St. Louis MSA,6301 Humbert Rd.,Godfrey,IL,62035,Madison County,(618) 466-0367,www.beverlyfarm.org,623220,Health Care & Social Assistance,Home for mentally retarded adults,6,404,2017
384,ABBCO Service Corporation,St. Louis MSA,2125 Gravois Rd,St. Louis,MO,63104,City of St. Louis,(314) 771-3221,www.abbcoserv.com,561720,"Administrative & Support, Waste Management & Remediation Services",Janitorial Services,8,400,2017
385,Alberici Corp.,St. Louis MSA,8800 Page Ave.,St. Louis,MO,63114,St. Louis County,(314) 733-2000,www.alberici.com,23611,Construction,Construction and Engineering,6,400,2017
386,Allied Healthcare Products Inc.,St. Louis MSA,1720 Sublette Ave.,St. Louis,MO,63110,City of St. Louis,(314) 771-2400,www.alliedhpi.com,3829,Manufacturing,Biotech - Measuring and Controlling Devices,3,400,2017
387,Allied Security Inc.,,1910 Pine Street,St. Louis,MO,63103,City of St. Louis,(314) 241-4220,www.alliedsecurity.com,561,"Administrative & Support, Waste Management & Remediation Services",Security & Detective,3,400,2017
388,Alton Mental Health & Development Center,,4500 College Ave.,Alton,IL,62002,Madison County,(618) 474-3200,,622210,Health Care & Social Assistance,Hospitals - Psychiatric,3,400,2017
389,American Commercial Lines LLC,"Jeffersonville, IN","16150 Main Circle Drive, Suite 400",St. Louis ,MO,63017,St. Louis County,(636) 530-2100,www.aepriverops.com,444,Transportation & Warehousing,Marine Transport & Services,6,400,2017
390,Benchmark Healthcare,St. Louis MSA,"1795 Clarkson Road, Suite 200",Chesterfield,MO,63017,St. Louis County,(636) 536-5365,www.benchmarkhealthcare.net,,Health Care & Social Assistance,operator of assisted-living and skilled nursing facilities ,6,400,2017
391,Best Buy Co Inc,,26 Plaza Dr,Fairview Heights,IL,62208-2025,St. Clair County,(618) 398-8190,www.bestbuy.com,443111,Retail Trade,"Appliances, Electronics",6,400,2017
392,Brown & James PC,St. Louis MSA,"800 Market Street, Suite 1100",St. Louis,MO,63101,City of St. Louis,(314) 421-3400,www.brownjames.com,541110,Professional & Scientific & Technical Services,Legal Services Office,3,400,2017
393,Buske Logistics Inc.,St. Louis MSA,7 Gateway Commerce Center Dr. West,Edwardsville,IL,62025,Madison County,(618) 931-6091,www.buske.com,48412,Transportation & Warehousing,Trucking,3,400,2017
394,Dave Sinclair Automotive Group ,St. Louis MSA,7500 S. Lindbergh Blvd.,St. Louis,MO,63125,St. Louis County,(314) 892-2600,www.davesinclair.com,,Retail Trade,"Automotive sales, leasing, and service",6,400,2017
395,Essex Industries Inc. ,St. Louis MSA,7700 Gravois Road,St. Louis,MO,63123,St. Louis County,(314) 832-4500,www.essexind.com,,Manufacturing,Electrical Equipment,,400,2017
396,Hillsboro School District,St. Louis MSA,20 Hawk Dr.,Hillsboro,MO,63050,Jefferson County,(636) 789-3378,,611110,Educational Services,Elementary and Secondary Schools,8,400,2017
397,Hilton St. Louis Airport,,10330 Natural Bridge Road,St. Louis,MO,63134,,(314) 426-5500,hiltonstlouisairport.com,721110,Accommodation & Food Services,Hotel/Motel Operation Eating Place Drinking Place Ret Gifts/Novelties Business Services,6,400,2017
398,Jackson Products Inc. ,,"1859 Bowles Ave., Suite 200",Fenton,MO,63026,St. Louis County,(636) 717-6600,www.jacksonsafety.com,339,Manufacturing,Safety & Security Equipment,8,400,2017
399,Judevine Center for Autism,St. Louis MSA,1101 Olivette Executive Pkwy.,St. Louis,MO,63132,St. Louis County,(314) 432-6200,www.judevine.org,813319,Other Services,Social Services- Diversified,3,400,2017
400,Lionmark Construction Cos. ,,1620 Woodson Rd.,St. Louis,MO,63114,St. Louis County,(314) 991-2180,www.missouripetroleum.com,,Construction,Highway and bridge construction,6,400,2017
401,"Luhr Brothers, Inc.",,250 W. Sandbank Rd.,Columbia,IL,62236,Monroe County ,(618) 281-4106,,234110,Construction,Highway and Street Construction,8,400,2017
402,Office Depot,,79 National Way Shopping Center,Manchester,MO,63011,St. Louis,(636) 230-6813,www.officedepot.com,453210,Retail Trade,Office Supply Dealers,3,400,2017
403,Pfizer Inc. ,,700 Chesterfield Pkwy W,Chesterfield,MO,63198,St. Louis County,(636) 247-1000,www.pfizer.com,325412,Manufacturing,Biotech - Pharmaceutical Research,7,400,2017
404,RubinBrown LLP,St. Louis MSA,1 N Brentwood Blvd,St. Louis,MO,63105-3925,St. Louis County,(314) 290-3300,www.rubinbrown.com,541213,Professional & Scientific & Technical Services,Tax Return Preparation Services Accounting/Auditing/Bookkeeping,6,400,2017
405,Siemens PLM Software,,13690 Riverport Dr.,Maryland Heights,MO,63043,St. Louis County,(314) 264-8000,www.plm.automation.siemens.com/en_us/,541512,Information,Business systems software,3,400,2017
406,Site Oil Company of Missouri,St. Louis MSA,50 S. Bemiston Ave. 2nd Floor,St. Louis,MO,63105,St. Louis,(314) 725-4321,,4451,Retail Trade,Food Stores (exc. Gas/Convenience),3,400,2017
407,Sports Authority,,11982 St. Charles Rock Rd.,Bridgeton,MO,63044,St. Louis,(314) 739-1344,www.bsportsauthority.com,4511,Retail Trade,"Sporting Goods, Toys & Hobby Products",3,400,2017
408,St. Louis Airport Marriott,,I-70 at Lambert Int'l Airport,St. Louis,MO,63134,St. Louis,(314) 423-9700,www.marriott.com/stlap,721110,Accommodation & Food Services,Hotels & Motels,3,400,2017
409,St. Louis Music Inc.,,1400 Ferguson Ave.,St. Louis,MO,63133,St. Louis,(314) 727-4512,www.stlouismusic.com/,421920,Wholesale Trade,Musical Instruments & Supplies,3,400,2017
410,TIAA-CREF Trust Company FSB,,"211 North Broadway, Suite 1000",St. Louis,MO,63102,City of St. Louis,(314) 244-5000,www.tiaa-cref.org,523930,Finance & Insurance,Investment Services,3,400,2017
411,Weekends Only Inc.,St. Louis MSA,349 Marshall Ave. 3rd Floor,St. Louis,MO,63119,St. Louis,(314) 447-1500,www.weekendsonly.com,4421,Retail Trade,Residential Furniture & Furnishings,3,400,2017
412,Chemir,,2672 Metro Blvd.,Maryland Heights,MO,63043,St. Louis,(314)291-6620,www.chemir.com,541710,Professional & Scientific & Technical Services,Biotech - Research & Testing Laboratories,,395,2017
413,CBRE Inc,,"190 Carondelet Plaza, Suite 1400",St. Louis,MO,63105,St. Louis City,(314) 655-6000,www.cbre.com/stlouis,,Real Estate & Rental & Leasing,,6,393,2017
414,Magnet LLC ,,7 Chamber Dr.,Washington,MO,63090,Franklin County,(636) 239-5661,wwww.magnetllc.com,326,Manufacturing,Plastic & Rubber Products,2,390,2017
415,The Bank of Edwardsville,St. Louis MSA,330 West Vandalia St.,Edwardsville,IL,62025,Madison County,(618) 656-0057,www.4thebank.com,522110,Finance & Insurance,Lending - Bank-Related Services,5,389,2017
416,Environmental Restoration LLC ,St. Louis MSA,1666 Fabick Drive,St. Louis,MO,63026,St. Louis City,(636) 227-7477,www.erllc.com,,Professional & Scientific & Technical Services,Environmental remediation,6,385,2017
417,New World Pasta Co,,611 E Marceau St,St. Louis,MO,63111-3839,City of St. Louis,(314) 631-9000,,311999,Manufacturing,Manufactures uncooked pasta packaged with other ingredients,1,385,2017
418,Union School District,St. Louis MSA,770 Independence Dr.,Union,MO,63084,Franklin County,(636) 583-8626,,6111110,Educational Services,School District,2,384,2017
419,Defense Contract Management,,PO Box 516,St. Louis,MO,63166-0516,City of St. Louis,(314) 234-6286,www.defenselink.mil,928110,Public Administration,Defense Contracts Management,8,380,2017
420,Wallis Oil Cos. And Wallis Lubricants,,106 E. Washington St.,Cuba,MO,65453,Crawford County,(636) 271-1055,www.wallisco.com,,,,6,380,2017
421,World Omni Financial Corp,St. Louis MSA,3120 Rider Trl S,Earth City,MO,63045,St. Louis County,(314) 702-4000,www.worldomni.com,522320,Finance & Insurance,Financial Services,,380,2017
422,YP Holdings,,One Bell Center,St. Louis,MO,63101,St. Louis City,,www.yp.com,,Information,Directory Publisher,6,380,2017
423,Mark Andy,St. Louis MSA,PO Box 1023,Chesterfield,MO,63006-1023,St. Louis County,(636) 532-4433,www.comcointl.com,333293,Manufacturing,"Manufactures printing, metalworking, packaging machinery",1,377,2017
424,Maryville University of Saint Louis,St. Louis MSA,650 Maryville University Dr.,St. Louis,MO,63141,St. Louis,(314) 529-9300,www.maryville.edu,611310,Educational Services,Colleges & Universities (General and Liberal Arts & Sciences),7,373,2017
425,Midwest Waste Inc.,,12976 St. Charles Rock Rd.,Bridgeton,MO,63044,St. Louis,(636) 947-5959,,5621,"Administrative & Support, Waste Management & Remediation Services",Trucking - Waste Haulers,3,371,2017
426,Pulaski Financial Corp. ,St. Louis MSA,12300 Olive Blvd.,St. Louis,MO,63141,St. Louis County,(314) 878-2210,www.pulaskibankstl.com,522110,Finance & Insurance,Banking,5,371,2017
427,Fireman's Fund ,,3301 Rider Trail,Earth City,MO,63045,St. Louis County,(314) 513-1100,www.firemansfund.com,524114,Finance & Insurance,Insurance service center,3,370,2017
428,TGI Friday's Inc,,12398 Olive Blvd,St. Louis,MO,63141-6443,St. Louis County,(314) 878-2220,www.tgifridays.com,722110,Accommodation & Food Services,Restaurant-Fam Chain,1,370,2017
429,Whole Foods Market,,1601 S. Brentwood Blvd. ,St. Louis,MO,63144,St. Louis County,(314) 968-7744,www.wholefoodsmarket.com,,Retail Trade,Grocery Chain,,370,2017
430,Solae Co. ,St. Louis MSA,1034 Danforth,St. Louis,MO,63102,City of St. Louis,(314) 659-3000,www.solae.com,,Manufacturing,Soybean oil products,5,369,2017
431,Gateway EDI,,One Financial Plaza,St. Louis,MO,63102,City of St. Louis,(800) 556-3666,www.gatewayedi.com,5242,Finance & Insurance,Medical Insurance Claims,7,367,2017
432,Festus School District,St. Louis MSA,1515 Mid-Meadow Lane,Festus,MO,63028,Jefferson County,(636) 927-4920,www.festus.k12.mo.us,611110,Educational Services,Elementary and Secondary Schools,"3,7",365,2017
433,Leidos,"Reston, VA","622 Emerson Road, Suite 600",St. Louis,MO,63141,St. Louis City,(314) 821-7017,www.leidos.com/engineering,,Professional & Scientific & Technical Services,Engineering consulting,6,364,2017
434,Hunter Engineering Co. ,St. Louis MSA,11250 Hunter Dr.,St. Louis,MO,63044,St. Louis County,(314) 731-3020,www.hunter.com,,Other Services,Automotive service equipment,6,360,2017
435,US Foodservice- Allen St. Louis Division,,8543 Page Blvd.,St. Louis,MO,63114,St. Louis,(314) 426-4100,www.usfoodservice.com,4224,Wholesale Trade,Food & Beverage Products,3,360,2017
436,PricewaterhouseCoopers LLP,,"800 Market St., Suite 1900",St. Louis,MO,63101,City of St. Louis,(314) 206-8500,www.pwc.com,541211,Professional & Scientific & Technical Services,Accounting/Auditing/Bookkeeping,6,357,2017
437,PwC,,800 Market St. Suite 1900,St. Louis,MO,63101,St. Louis City,(314) 206-8500,www.pwc.com,,Finance & Insurance,"assurance, tax and advisory services",6,357,2017
438,Ernst & Young LLP,,190 Carondelet Plz # 1300,St. Louis,MO,63105-3433,St. Louis County,(314) 290-1000,www.ey.com,541211,Professional & Scientific & Technical Services,"Accounting, Auditing, & Bookkeeping",6,356,2017
439,The Butler's Pantry Catering Co.,St. Louis MSA,5389 Arsenal St.,St. Louis,MO,63139,City of St. Louis,(314) 664-7680,www.butlerspantry.com,722320,Accommodation & Food Services,Catering Service,6,355,2017
440,Armstrong Teasdale LLP ,St. Louis MSA,7700 Forsyth Blvd. Suite 1800,St. Louis,MO,63105,St. Louis County,(314) 621-5070,www.armstrongteasdale.com,54,Professional & Scientific & Technical Services,Law firm,6,353,2017
441,ACF Industries LLC,St. Louis MSA,101 Clark St.,St. Charles,MO,63301,St. Charles County,(636) 949-2399,www.acfindustries.com,532411,Real Estate & Rental & Leasing,Railroad Car Leasing,3,350,2017
442,Aerofil Technology,St. Louis MSA,225 Industrial Park Drive,Sullivan,MO,63080,Franklin County,(573) 468-5551,www.aerofil.com,325998,Manufacturing,provider of liquid and aerosol packaging for consumer and industrial products ,"6,7",350,2017
443,Alton & Southern Railway Company,St. Louis MSA,1000 South 22nd St.,East St. Louis,IL,62207,St. Clair County,(618) 482-7707,www.altonsouthern.com,4821,Transportation & Warehousing,Railroads & Rail Terminals,3,350,2017
444,AW Health Care,St. Louis MSA,7212-7216 Balson Ave,St. Louis,MO,63130,St. Louis City,(314) 726-5600,www.awhealthcare.com,,Health Care & Social Assistance,in-home and home health care agency ,6,350,2017
445,Belleville (City of),St. Louis MSA,101 S. Illinois St.,Belleville,IL,62220,St. Clair County,(618) 233-6810,www.belleville.net,922110,Public Administration,Municipal Governments,3,350,2017
446,CCG Enterprises Inc.,,2425 Centerline Interline Indust.,Maryland Heights,MO,63043,St. Louis,(314) 872-9235,,722211,Accommodation & Food Services,Restaurants - Chains,3,350,2017
447,Centralia Correctional Center,,9330 Shattuc Road,Centralia,IL,62801,Clinton County,(618) 533-4111,,922140,Public Administration,Correctional Facility,3,350,2017
448,Chestnut Health Systems - Southern Region,St. Louis MSA,50 Northgate Industrial Dr.,Granite City,IL,62040,Madison County,(618) 877-4420,www.chestnut.org,622210,Health Care & Social Assistance,Hospitals - Psychiatric,3,350,2017
449,Five West Foods Inc.,,399 Main St.,St. Peters,MO,63376,St. Charles County,(636) 970-3377,,722211,Accommodation & Food Services,Restaurants,3,350,2017
450,Fox Associates Ltd.,,527 North Grand Blvd,St. Louis,MO,63103,City of St. Louis,(314) 534-1678,www.fabulousfox.com,711110,"Arts, Entertainment & Recreation",Theatrical Production,3,350,2017
451,Hedgewood International Inc. ,,707 Berkshire Blvd.,East Alton,IL,62024,Madison County,(618) 259-2222,,,Manufacturing,Alton Steel and other operations,3,350,2017
452,Hilton Hotels Corp,,16625 Swingley Ridge Rd,Chesterfield,MO,63017-1715,St. Louis County,(636) 532-5000,www.hilton.com,721110,Accommodation & Food Services,Hotel/Motel Operation Eating Place Drinking Place Ret Gifts/Novelties Business Services,1,350,2017
453,Hogan Trucking,,1400 North 14th St.,St. Louis,MO,63106,City of St. Louis,(314) 421-6000,www.hogan1.com,48412,Transportation & Warehousing,Trucking,3,350,2017
454,Hubbell-Wiegmann ,,501 West Apple Rd.,Freeburg,IL,62220,St. Clair County,(618) 539-3193,www.hubbell-wiegmann.com,3353,Manufacturing,Electrical Equipment,3,350,2017
455,LaDelle Investment Co. Inc.,St. Louis MSA,"473 N. Kirkwood, 2nd floor",St. Louis,MO,63122,St. Louis,(314) 821-7007,,623110,Health Care & Social Assistance,Residential Care - Elderly,3,350,2017
456,LMI Aerospace Inc. ,St. Louis MSA,3600 Mueller Rd.,St. Charles,MO,63301,St. Charles County,(636) 946-6525,www.lmiaerospace.com,33641,Manufacturing,Tool & Die/Machine Shops,3,350,2017
457,MiTek Industries Inc. ,,"14515 N. Outer Forty Rd., Suite 300",Chesterfield,MO,63017,St. Louis County,(314) 434-1200,www.mii.com/unitedstates/,,Manufacturing,Steel & Metal Products,6,350,2017
458,National Human Genome Research Institute,,4444 Forest Park Avenue,St. Louis,MO,63108,City of St. Louis,(314) 286-1800,,541710,Educational Services,Research Centers,3,350,2017
459,North County Industries,St. Louis MSA,10695 Bellefontaine Rd.,St. Louis,MO,63137,St. Louis,(314) 340-6021,,624310,Manufacturing,Sheltered Workshops,3,350,2017
460,Paulo Products Company,,5711 W. Park Ave.,St. Louis,MO,63110,City of St. Louis,(314) 647-7500,www.Paulo.com,332811,Manufacturing,Metal Finishing Operations,3,350,2017
461,Peak Resorts,,17409 Hidden Valley Drive,Wildwood,MO,63025,St. Louis County,(636) 938-5373,www.peakresorts.com,713,"Arts, Entertainment & Recreation",Ski Resorts,6,350,2017
462,Rich & Charlie's,St. Louis MSA,1081 S. Woods Mill Rd.,St. Louis,MO,63017,St. Louis,(636) 227-8965,,722211,Accommodation & Food Services,Restaurants - Chains,3,350,2017
463,Riley-Spence & Associates Inc.,St. Louis MSA,1749 Gilsinn,Fenton,MO,63026,St. Louis,(636) 349-2311,www.rileyspence.com,623110,Health Care & Social Assistance,Residential Care - Elderly,3,350,2017
464,Sensient Technologies,,2515 N. Jefferson,St. Louis,MO,63106,City of St. Louis,(314) 889-7600,www.sensient-tech.com,31193,Manufacturing,Biotech - Chemicals & Chemical Products,3,350,2017
465,Swan Corporation,,"One City Centre, Ste. 2300",St. Louis,MO,63101,City of St. Louis,(314) 231-8148,www.theswancorp.com,3273,Manufacturing,Building Materials,3,350,2017
466,Union Pacific Railroad Co Inc,,700 210 N 13th St,St. Louis,MO,63103,City of St. Louis,(888) 870-8777,www.uprr.com,482111,Transportation & Warehousing,Railroad Line-Haul Operator,6,350,2017
467,Unisys Corporation,"Blue Bell, PA",555 Washington Ave.,St. Louis,MO,63101,City of St. Louis,(800) 874-8647,www.unisys.com,541512,Professional & Scientific & Technical Services,IT systems design and consulting,3,350,2017
468,United Fruit & Produce Company,,55 Produce Row,St. Louis,MO,63102,City of St. Louis,(314) 621-9440,,4225,Wholesale Trade,Food - Produce,3,350,2017
469,Waterloo Community Unit School District #5,St. Louis MSA,219 Park St.,Waterloo,IL,62298,Monroe County ,(618) 939-3453,www.wcusd5.net,611110,Educational Services,Elementary and Secondary Schools,8,350,2017
470,Windsor School District,St. Louis MSA,6208 Highway 61-67,Imperial,MO,63052,Jefferson County,(636) 464-4400,,611110,Educational Services,Elementary and Secondary Schools,3,350,2017
471,Patients First Health Care,,901 Patients First Dr.,Washington,MO,63090,Franklin County,(636) 390-1400,,621111,Health Care & Social Assistance,Medical Facilities,2,342,2017
472,Missouri Department of Mental Health,,5351 Delmar Blvd,St. Louis,MO,63112-3146,City of St. Louis,(314) 877-0500,www.state.mo.us,923120,Public Administration,Administrative Public Health Programs,1,340,2017
473,Fredman Bros Furniture Co Inc,St. Louis MSA,PO Box 512,Collinsville,IL,62234-0512,Madison County,(314) 426-3999,www.glideaway.com,531120,Manufacturing,"Manufactures beds, retails appliances and furniture",1,338,2017
474,Midwest Petroleum Company ,St. Louis MSA,6760 Southwest Ave.,St. Louis,MO,63143,St. Louis County,(314) 647-5550,www.midwestpetro.com,,Wholesale Trade,Petroleum,6,338,2017
475,Warren County School District,St. Louis MSA,302 Kuhl Ave.,Warrenton,MO,63383,Warren County,(636) 456-4311,www.warreneor3.org,611110,Educational Services,Public School Districts,8,338,2017
476,Coventry Health Care of Missouri Inc.  ,,"550 Maryvlle Center Dr., Suite 300",St. Louis,MO,63141,St. Louis County,(314) 506-1831,www.chcmissouri.com,524114,Health Care & Social Assistance,Health Maintenance Organization,6,335,2017
477,"Penske Truck Leasing Company, LP",,"14528 S. Outer 40, Suite 424",St. Louis,MO,63017,St. Louis County,(314) 851-0830,,7513,Real Estate & Rental & Leasing,Truck Rental,5,335,2017
478,"YTB International, Inc.",,1901 East Edwardsville Rd.,Wood River,IL,62096,Madison County,(618) 655-9477,,561510,"Administrative & Support, Waste Management & Remediation Services",Travel and Business Services,5,335,2017
479,Hyatt Regency St. Louis at The Arch,,315 Chestnut St.,St. Louis,MO,63102,City of St. Louis,(314) 655-1234,http://stlouisarch.hyatt.com/hyatt/hotels/index.jsp,722110,Accommodation & Food Services,Hotel,6,331,2017
480,Science Applications International Corp.,,731 Lakepointe Centre Dr.,O'Fallon,IL,62269,St. Clair County,(618) 624-9005,www.saic.com,3359,Information,Manufacturing of IT systems,2,331,2017
481,Anheuser-Busch Employees Credit Union,St. Louis MSA,1001 Lynch St.,St. Louis,MO,63118,City of St. Louis,(800) 325-9905,www.abecu.org,522130,Finance and Insurance,Credit Union,7,330,2017
482,Cintas Corp. (St. Louis Operations),,6200 Olive Blvd.,St. Louis,MO,63130,St. Louis,(314)862-1010,www.cintas.com,812331,Other Services,Uniform & Linen Rental & Laundry,3,330,2017
483,Hubbell-Raco Inc,,3940 Dr Martin Luther King Dr,St. Louis,MO,63113-3316,City of St. Louis,(314) 531-0460,www.racoinc.com,335932,Manufacturing,Manufactures electric conduits & fittings,1,330,2017
484,Jennings School District,St. Louis MSA,2559 Dorwood Ave.,St. Louis,MO,63136,St. Louis,(314) 653-8000,www.jenningsk12.net,611110,Educational Services,Public School Districts,3,330,2017
485,Lincoln County Medical Center,St. Louis MSA,1000 E Cherry St,Troy,MO,63379-1513,Lincoln County,(636) 528-8551,www.lcmctroy.com,622110,Health Care & Social Assistance,County Hospital,8,330,2017
486,M&I Bank,,13205 Manchester Road,St. Louis,MO,63131,St. Louis County,(800) 642-2657,www.mibank.com,522110,Finance & Insurance,Commercial Lending,5,330,2017
487,Major Brands Inc. ,St. Louis MSA,6701 Southwest Ave.,St. Louis,MO,63143,St. Louis County,(314) 645-1843,www.majorbrands.com,,Wholesale Trade,Beverage Products,6,330,2017
488,Metro East Industries,St. Louis MSA,3126 Missouri Ave.,East St. Louis,IL,62205,St. Clair County,(618) 271-7210,www.allenrailroad.com,336510,Manufacturing,Rail Car Manufacturing and Repair,2,330,2017
489,Sanford-Brown College Inc.,,1345 Smizer Mill Road,Fenton,MO,63026,St. Louis,(636) 651-1600,www.sanford-brown.edu,611410,Educational Services,Business & Vocational Colleges & Schools,3,330,2017
490,Terminal Railroad Assn. of St. Louis,St. Louis MSA,"1000 St. Louis Union Station, #200",St. Louis,MO,63103,City of St. Louis,(314) 231-5196,www.terminalrailroad.com,4821,Transportation & Warehousing,Railroads & Rail Terminals,3,330,2017
491,Willert Home Products Inc,St. Louis MSA,4044 Park Ave,St. Louis,MO,63110-2320,City of St. Louis,(314) 772-2822,www.fizztablets.com,326199,Manufacturing,Manufactures housewares and chemicals,1,330,2017
492,Glazer's Midwest Region,St. Louis MSA,6501 Hall St.,St. Louis,MO,63147,City of St. Louis,(314) 382-7123,www.glazers.com,4228,Wholesale Trade,Beverage Products,7,328,2017
493,Arby's Roast Beef Restaurants,"Atlanta, GA","8860 Ladue Rd., 2nd floor",St. Louis,MO,63124,St. Louis County,(314) 727-9701,www.arbys.com,722211,Accommodation & Food Services,Restaurants - Chains,3,325,2017
494,"Bistate Bistro Associates, LP",St. Louis MSA,5262 S Lindbergh Blvd,St. Louis,MO,63126-3519,St. Louis County,(314) 849-4556,,722110,Accommodation & Food Services,Restaurant-Fam Chain,1,325,2017
495,CSI Leasing Inc. ,St. Louis MSA,9990 Old Olive Street Rd.,St. Louis,MO,63141,St. Louis County,(314) 997-7010,www.csileasing.com,,Information,Computer equipment leasing,6,325,2017
496,Doubletree Hotel & Conference Center,,16625 Swingley Ridge Rd.,Chesterfield,MO,63017,St. Louis,(636) 532-5000,www.harrisonconferencecenter.com,721110,Accommodation & Food Services,Hotels & Motels,3,325,2017
497,Everest Global Tech Group LLC,,5555 Winghaven,O'Fallon,MO,63368,St. Charles County,(636) 625-5901,,513310,Information,Local Telephone Service,3,325,2017
498,GMP Metal Products,,3883 Delor St.,St. Louis,MO,63116,City of St. Louis,(314) 481-0300,www.gmpmetal.com,332710,Manufacturing,Tool & Die/Machine Shops,3,325,2017
499,Highland Supply Corp,St. Louis MSA,1111 6th St,Highland,IL,62249-1408,Madison County,(618) 654-2161,www.hscorders.com,332999,Manufacturing,Manufactures metal and plastic sheets,1,325,2017
500,Monroe County,St. Louis MSA,100 S Main St,Waterloo,IL,62298,Monroe County ,(618) 939-8681,,921110,Public Administration,County Government,8,325,2017
501,Ritz-Carlton Hotel Co LLC,,100 Carondelet Plz,St. Louis,MO,63105-3434,St. Louis County,(314) 863-6300,www.marriott.com,721110,Accommodation & Food Services,Hotel/Motel Operation,6,325,2017
502,St. Louis Housing Authority,St. Louis MSA,4100 Lindell Blvd Fl 2,St. Louis,MO,63108-2914,City of St. Louis,(314) 531-4770,,925110,Public Administration,Housing Agency Government,1,325,2017
503,Tarlton Corporation,St. Louis MSA,5500 West Park Ave.,St. Louis,MO,63110,City of St. Louis,(314) 633-3300,www.tarltoncorp.com,233320,Construction,General Contractors,6,325,2017
504,Sachs Electric Co. ,St. Louis MSA,1572 Larkin Williams Rd.,Fenton,MO,63026,St. Louis County,(636) 532-2000,www.sachsco.com,23,Construction,Electrical contractor,6,323,2017
505,Youth In Need,St. Louis MSA,1815 Boones Lick Rd,St. Charles,MO,63301-2247,St. Charles County,(636) 946-2303,www.youthinneed.org,624410,Other Services,Child Day Care Services Individual/Family Svcs,"1,7",323,2017
506,CVS Caremark,,4100 Gravois Ave.,St. Louis,MO,63116,City of St. Louis,(314) 762-0752,,446110,Retail Trade,Pharmacy,8,322,2017
507,Costco Wholesale Corp,,200 Costco Way,St. Peters,MO,63376-4385,St. Charles County,(636) 970-4004,www.costco.com,452910,Retail Trade,Ret Misc General Merchandise Ret Auto/Home Supplies,1,320,2017
508,Gaming Development Entertainment Company,St. Louis MSA,1600 Heritage Landing,St. Charles,MO,63303,St. Charles County,(636) 939-2460,www.growlerspub.com,722211,Accommodation & Food Services,Restaurants,3,320,2017
