Symbol,ISIN,Name,Company Description
JNK,US78464A4177,Spdr Barc High Yild Bd,"EXCHANGE-TRADED FUND SEEKING PERFORMANCE CORRESPONDING TO TH E BARCLAYS HIGH YIELD VERY LIQUID INDEX. SSGA FUNDS MANAGEME NT ACTS AS THE FUND'S INVESTMENT ADVISOR. AS OF 9/11, INVEST MENTS BY SECTOR IN %: INDUSTRIAL 85; FINANCE 7; UTILITY 7; - AND CASH 1. INVESTMENTS BY GRADE IN %: B 48; BB 34; CCC OR L OWER 17; AND BBB OR HIGHER 1. 2010-11 PORTFOLIO TURNOVER RAT E WAS 40% VS 53% FOR 2009-10."
NEDJ.ZA,ZAE000004875,Nedbank Group,"NEDBANK GROUP LIMITED (NEDBANK GROUP) IS A BANK HOLDING COMPANY. THE COMPANY PROVIDES FULL-SERVICE CORPORATE BANKING TO CORPORATE, INCLUDING COMMERCIAL, INDUSTRIAL AND PROPERTY FINANCE SOLUTIONS. IT PROVIDES WHOLESALE BANKING OFFERING FROM LENDING AND DEPOSIT-TAKING TO TRANSACTIONAL BANKING. THE COMPANY PROVIDES SERVICES, SUCH AS WHOLESALE AND RETAIL BANKING SERVICES, INSURANCE, ASSET MANAGEMENT, AND WEALTH MANAGEMENT. ITS SEGMENTS INCLUDE NEDBANK CAPITAL, NEDBANK CORPORATE, NEDBANK WEALTH, NEDBANK RETAIL, NEDBANK BUSINESS BANKING, SHARED SERVICES AND CENTRAL MANAGEMENT. THE COMPANY'S ULTIMATE HOLDING COMPANY IS OLD MUTUAL PLC. NEDBANK CAPITAL CONSISTS OF THE COMPANY'S INVESTMENT BANKING BUSINESSES THAT TOGETHER MANAGE THE STRUCTURING, LENDING, UNDERWRITING AND TRADING BUSINESSES. NEDBANK CORPORATE INCLUDES CORPORATE BANKING, PROPERTY FINANCE, NEDBANK AFRICA AND THE BUSINESSES OF TRANSACTIONAL BAN"
NHYDY,US6565316055,Norsk Hydro A S Adr,"NORWEGIAN DISTRIBUTOR OF ALUMINIUM AND ALUMINIUM PRODUCTS TO VARIOUS INDUSTRIES INCLUDING AUTO, BUILDING AND PACKAGING. PRODUCTS INCLUDE FOUNDRY ALLOYS, TUBES, EXTRUSIONS AND ALUMI NIUM STRIP AND FOIL. 2012 REVENUES BY SEGMENT IN %: METAL MARKETS 45; ROLLED PRODUCTS 31; BAUXITE AND ALUMINA 13; PRIMA RY METALS 7; ENERGY 3; AND OTHER 1. REVENUES BY AREA IN %: E UROPEAN UNION 45; ASIA 23; AMERICAS 12; AND ALL OTHER 20."
PGN.PL,PLPGNIG00014,Polish Oil And Gas,"POLSKIE GORNICTWO NAFTOWE I GAZOWNICTWO SA (PGNIG SA) IS A POLAND-BASED COMPANY OPERATING IN THE OIL AND NATURAL GAS MARKET. ITS BUSINESS IS DIVIDED INTO THREE SEGMENTS: EXPLORATION AND PRODUCTION; TRADE AND STORAGE AND DISTRIBUTION; AND OTHERS. THE CORE ACTIVITY OF THE COMPANY COVERS EXPLORATION AND PRODUCTION OF NATURAL GAS AND CRUDE OIL AS WELL AS IMPORT, STORAGE, TRADE AND DISTRIBUTION OF GAS AND LIQUID FUELS. APART FROM EXPLOITING GAS FROM ITS OWN DOMESTIC SOURCE, PGNIG SA IMPORTS IT FROM THE RUSSIAN FEDERATION, GERMANY AND OTHER COUNTRIES. IT ALSO PRODUCES GAS AND OIL DERIVATIVES, HELIUM, NITROGEN, SULFUR, LIQUID GAS AND OTHERS. ITS PRODUCTS ARE DISTRIBUTED BOTH TO INDUSTRIAL AND INDIVIDUAL CLIENTS. THE COMPANY FORMS A CAPITAL GROUP WITH A NUMBER OF SUBSIDIARIES AND AFFILIATES BASED IN POLAND, NORWAY, THE NETHERLANDS, GERMANY, SWEDEN, THE UNITED ARAB EMIRATES, UKRAINE, INDONESIA, SAUDI ARABI"
TADH.JP,JP3539220008,T & D Holdings,"T&D HOLDINGS, INC. IS A JAPAN-BASED HOLDING COMPANY MAINLY ENGAGED IN THE LIFE INSURANCE BUSINESS. THROUGH ITS SUBSIDIARIES AND ASSOCIATED COMPANIES, THE COMPANY IS ENGAGED IN THREE BUSINESS SEGMENTS. THE INSURANCE AND RELATED SEGMENT PROVIDES LIFE INSURANCE, SMALL-AMOUNT SHORT-TERM INSURANCE AND INSURANCE AGENCY SERVICES. THE ASSET OPERATION AND RELATED SEGMENT IS ENGAGED IN THE INVESTMENT OPERATION, INVESTMENT CONSULTATION, INVESTMENT ADVISORY, LEASE, FUND OPERATION AND MANAGEMENT, CREDIT GUARANTEE BUSINESSES AND INVESTMENT IN PRIVATE FUNDS, AMONG OTHERS. THE GENERAL AFFAIRS, BUSINESS AGENCY AND RELATED SEGMENT PROVIDES SERVICES, INCLUDING THE PRODUCTION, ORGANIZATION, KEEPING, DISPATCHING AND DISTRIBUTION OF DOCUMENTS, COMPUTER PROCESSING SERVICES AND CASH COLLECTION SERVICES, AMONG OTHERS. AS OF MARCH 31, 2013, THE COMPANY HAD 16 SUBSIDIARIES AND TWO ASSOCIATED COMPANIES."
SES.IN,INE205A01025,Sesa Sterlite,"SESA STERLITE LIMITED, FORMERLY SESA GOA LIMITED, IS A DIVERSIFIED GLOBAL METALS AND MINING COMPANY. THE COMPANY IS ENGAGED EXPLORATION, MINING AND PROCESSING OF IRON-ORE. THE COMPANY OPERATES IN THREE BUSINESS SEGMENTS: IRON ORE, METALLURGICAL COKE AND PIG IRON. THE COMPANY IS ALSO ENGAGED IN PRODUCING PIG IRON AND METALLURGICAL COKE. EFFECTIVE AUGUST 12, 2013, SESA GOA LIMITED , A 55.1%-OWNED UNIT OF VEDANTA RESOURCES PLC ACQUIRED 70.5% INTEREST IN VEDANTA ALUMINIUM LIMITED (VAL) AND RAISED ITS INTEREST TO 59% FROM 20.17% BY ACQUIRING A 38.83% INTEREST IN CAIRN INDIA LTD. ON AUGUST 17, 2013, THE COMPANY AND STERLITE INDUSTRIES (INDIA) LTD (STERLITE) ANNOUNCED THAT MERGER OF STERLITE AND THE MADRAS ALUMINIUM COMPANY LIMITED (MALCO) WITH THE COMPANY AND TRANSFER OF MALCO POWER PLANT TO VEDANTA ALUMINIUM LIMITED (VAL). IN AUGUST 2013, IT ANNOUNCED THAT THE MERGER OF STERLITE ENERGY LIMITED WITH THE"
JCDE.FR,FR0000077919,Jcdecaux,"JCDECAUX SA IS A FRANCE-BASED OUTDOOR ADVERTISING COMPANY. IT DIVIDES ITS BUSINESS INTO THREE MAIN SECTORS: ADVERTISING ON STREET FURNITURE, BILLBOARDS AND TRANSPORT ADVERTISING. THE COMPANY COMMISSIONS AND MAINTAINS A RANGE OF STREET FURNITURE ITEMS, INCLUDING BUS AND TRAM SHELTERS, AUTOMATIC OUTDOOR TOILETS, SELF SERVICE BICYCLE RACKS, MULTI-SERVICE COLUMNS, NEWSPAPER KIOSKS, CITY LIGHT PANELS, PUBLIC BENCHES AND PUBLIC RUBBISH BINS. BILLBOARD ADVERTISING INCLUDES SCROLLING BILLBOARD PANELS, AS WELL AS TRADITIONAL BILLBOARD SYSTEMS. TRANSPORT ADVERTISING INCLUDES ADVERTISING ON VEHICLES, AIRPORTS AND IN RAILWAY TRANSIT STATIONS. THE COMPANY HAS OPERATIONS IN EUROPE, ASIA-PACIFIC REGION, MIDDLE EAST AND RUSSIA, AMONG OTHERS."
AMSJ.ZA,ZAE000013181,Anglo American Platinum,"ANGLO AMERICAN PLATINUM LIMITED IS A SOUTH AFRICA-BASED COMPANY IS A PRODUCER OF PLATINUM GROUP METALS (PGMS). IN ADDITION, THE COMPANY HAS A NUMBER OF JOINT VENTURES, WHICH INCLUDES ATLATSA RESOURCES CORPORATION OVER THE BOKONI MINE; ARM MINING CONSORTIUM LIMITED OVER THE MODIKWA MINE; ROYAL BAFOKENG RESOURCES OVER THE COMBINED BAFOKENG-RASIMONE PLATINUM MINE AND STYLDRIFT PROPERTIES; THE BAKGATLA-BA-KGAFELA TRADITIONAL COMMUNITY, WHICH HOLDS A 15% SHARE IN UNION NORTH AND SOUTH MINES; EASTERN PLATINUM LIMITED AND ITS PARTNER, THE BAPO-BA-MOGALE TRADITIONAL COMMUNITY AND MVELAPHANDA RESOURCES, OVER THE PANDORA JOINT VENTURE; AND XSTRATA KAGISO PLATINUM PARTNERSHIP, TO OPERATE THE MOTOTOLO MINE. ANGLO AMERICAN PLATINUM ALSO HAS POOLING-AND-SHARING ARRANGEMENTS WITH AQUARIUS PLATINUM (SOUTH AFRICA), COVERING THE SHALLOW RESERVES OF THE KROONDAL AND MARIKANA MINES THAT ARE CONTIGUOUS WITH ITS OWN RU"
WYN,US98310W1080,Wyndham Worldwide Corp,"OFFERS VACATION OWNERSHIP INTERESTS AND PROPERTY MANAGEMENT FOR RESORTS AS WELL AS FRANCHISING 7,290 HOTELS. HOTEL PORTF OLIO INCLUDES 30 BRANDS INCLUDING WYNDHAM HOTELS, TRYP BY WY NDHAM, RAMADA, DAYS INN, SUPER 8, HOWARD JOHNSON, WYNDHAM REWARDS AND WINGATE. 2012 REVENUES BY SEGMENT IN %: VACATION OWNERSHIP 50; VACATION EXCHANGE AND RENTALS 31; AND LODGING 19. REVENUES BY AREA IN %: U.S. 74; U.K. 6; NETHERLANDS 5; A ND ALL OTHER COUNTRIES 15."
ENK.TR,TREENKA00011,Enka Insaat Ve Sanayi,"ENKA INSAAT VE SANAYI AS IS A TURKEY-BASED CONSTRUCTION COMPANY ACTIVE IN THE MANUFACTURING AND TRADE, ENERGY, RETAIL, AND REAL ESTATE SECTORS. IT IS THE PARENT COMPANY OF ENKA GROUP, WHICH IS COMPRISED OF LOCAL AND INTERNATIONAL SUBSIDIARIES ENGAGED IN A VARIETY OF ACTIVITIES, INCLUDING THE CONSTRUCTION OF POWER PLANTS, MOTORWAYS, BRIDGES, TUNNELS, PETROCHEMICAL PLANTS, PIPELINES, BUSINESS AND CULTURAL CENTERS, HOUSING COMPLEXES, SHOPPING MALLS, HOSPITALS, AIRPORTS, HARBORS AND INDUSTRIAL PLANTS. THE COMPLETED PROJECTS OF THE COMPANY INCLUDE RRESHEN KALIMASH MOTORWAY, NEW FC SHAKHTER DONETSK STADIUM, MOSCOW CITY CAR PARK AND ESENTAI PARK INFRASTRUCTURE, AMONG OTHERS. IT IS ALSO ENGAGED IN ENERGY PROJECTS AND REAL ESTATE DEVELOPMENT, AS WELL AS AIR TRANSPORT AND FREIGHTING SERVICES, AMONG OTHER SECTORS THROUGH ITS SUBSIDIARIES. ENKA INSAAT VE SANAYI AS ALSO HAS A BRANCH OFFICE IN MOSCOW, RUSSIA."
PII,US7310681025,Polaris Industries Inc,"MANUFACTURES ALL-TERRAIN RECREATIONAL AND UTILITY VEHICLES, SNOWMOBILES, REPLACEMENT PARTS AND RELATED ACCESSORIES. PROD UCTS INCLUDE FOUR-WHEEL AND SIX-WHEEL ATVS AND THE POLARIS R ANGER, AN OFF-ROAD SIDE-BY-SIDE UTILITY AND RECREATIONAL VEHICLE. 2012 REVENUES BY PRODUCT IN %: OFF-ROAD VEHICLES 69; PARTS, GARMENTS AND ACCESSORIES 14; SNOWMOBILES 9; AND MOTOR CYCLES 8. REVENUES BY AREA IN %: U.S. 72; CANADA 14; AND OTH ER FOREIGN 14."
CL@N.JP,JP3526600006,Chubu Elec.Power,"CHUBU ELECTRIC POWER CO., INC. IS MAINLY ENGAGED IN THE ELECTRICITY BUSINESS. THE ELECTRICITY SEGMENT IS ENGAGED IN THE PROVISION OF ELECTRICITY. THE OTHERS SEGMENT INCLUDES BOTH ENERGY DIVISION AND OTHER BUSINESS DIVISION. THE ENERGY DIVISION IS ENGAGED IN THE PROVISION OF GAS AND INTEGRATED ENERGY INCLUDING COGENERATION SYSTEM, AS WELL AS THE ACCEPTANCE, STORAGE, GASIFICATION AND DELIVERY OF LIQUEFIED NATURAL GAS (LNG). IT ALSO ENGAGES IN THE CONSTRUCTION, INSPECTION, AND REPAIR OF ELECTRICAL FACILITIES. THE OTHERS BUSINESS DIVISION IS ENGAGED IN THE PROVISION OF INFORMATION PROCESSING SERVICES, SOFTWARE BUSINESS, THE REAL ESTATE LEASING AND MANAGEMENT, AS WELL AS THE AUTOMOBILE LEASING BUSINESS. AS OF MARCH 31, 2013, IT HAD 44 SUBSIDIARIES AND 38 ASSOCIATED COMPANIES. IN THE LATE AUGUST, 2013, IT FULLY ACQUIRED SUBSIDIARY CENERGY CO. LTD. ON OCTOBER 1, 2013, IT TRANSFERRED AIR CONDITIONER ENTRU"
SENV.FR,FR0010613471,Suez Environnement,"SUEZ ENVIRONNEMENT COMPANY SA IS A FRANCE-BASED HOLDING COMPANY ACTIVE PRIMARILY IN THE AREA OF ENVIRONMENTAL SERVICES. THE COMPANY PROVIDES SERVICES IN THE AREAS OF WATER AND WASTE, INCLUDING DELEGATED MANAGEMENT OF DRINKING WATER AND WASTEWATER TREATMENT SERVICES, WATER TREATMENT ENGINEERING, AND WASTE COLLECTION, RECOVERY AND DISPOSAL ACTIVITIES. IT OPERATES THREE BUSINESS LINES: WATER EUROPE; WASTE EUROPE, AND INTERNATIONAL. THE INTERNATIONAL BUSINESS LINE COVERS ACTIVITIES OF DEGREMONT, A SUBSIDIARY ENGAGED IN CONSTRUCTION OF DRINKING WATER AND DESALINATION PLANTS, INSIDE AND OUTSIDE WESTERN EUROPE. WITHIN THE WATER EUROPE BUSINESS LINE, THE COMPANY PLANS AND CONSTRUCTS WATER TREATMENT FACILITIES, AS WELL AS DISTRIBUTES WATER AND PROVIDES WASTEWATER TREATMENTS ACTIVITIES. WITHIN THE WASTE BUSINESS LINE, IT COLLECTS AND MANAGES NON-HAZARDOUS WASTE, RECOVERS MATERIALS, AND DISMANTLES AND DISASS"
ISC.TR,TRAISCTR91N2,Turkiye Is Bankasi 'C',"TURKIYE IS BANKASI AS IS A TURKEY-BASED COMMERCIAL BANK. IT OFFERS RETAIL AND COMMERCIAL BANKING PRODUCTS AND SERVICES, SUCH AS CREDIT AND DEBIT CARDS, PRIVATE AND COMMERCIAL LOANS, SAVINGS AND CHECKING ACCOUNTS AND MONEY TRANSFERS, ISSUING LETTERS OF GUARANTEE, FOREIGN CURRENCY AND NON-CASH LOANS AND COMMERCIAL LOAN DEPOSIT ACCOUNTS, AS WELL AS PORTFOLIO MANAGEMENT, MUTUAL AND PENSION FUND MANAGEMENT, INTERNATIONAL TRADE FINANCE AND SECURITIES BROKERAGE. THE BANK ALSO PROVIDES ONLINE AND MOBILE BANKING SERVICES, AND HAS INVESTMENTS IN COMPANIES THAT ARE ACTIVE IN FINANCE, GLASS INDUSTRY, TELECOMMUNICATIONS AND OTHER INDUSTRY AND SERVICE SECTORS. THE BANK OPERATES A NUMBER OF BRANCHES AND AUTOMATIC TELLER MACHINES IN TURKEY AND ABROAD, AS WELL AS A BANKING SUBSIDIARY IN GERMANY."
BPO,CA1129001055,Brookfield Office Ppty,"OWNS, DEVELOPS AND MANAGES PREMIER OFFICE PROPERTIES IN THE UNITED STATES, CANADA AND AUSTRALIA. COMMERCIAL PROPERTY POR TFOLIO CONSISTED OF 111 PROPERTIES TOTALING 77 MIL SQUARE FE ET. 2012 REVENUES OF COMMERCIAL PROPERTY BY REGION IN %: UNITED STATES 62; CANADA 26; AND AUSTRALIA 12. 2012 AVERAGE OC CUPANCY RATE WAS 92% VS 93% IN 2011."
CSHE.HK,CNE1000002R0,China Shenhua En.Co.'H',"CHINA SHENHUA ENERGY COMPANY LIMITED IS AN INTEGRATED ENERGY COMPANY. THE COMPANY OPERATES ITS BUSINESSES THROUGH COAL DIVISION, WHICH INVOLVES IN PRODUCTION OF COAL AND OPERATION OF COAL MINES SUCH AS SHENDONG, ZHUNGE'ER, SHENGLI, BAORIXILE AND BAOTOU MINES, WHICH PROVIDE LONG FRAME COAL, LIGNITE AND NON-CAKING COAL, AMONG OTHERS; POWER GENERATION DIVISION, WHICH IS MAINLY ENGAGED IN THE THERMAL POWER GENERATION; RAILWAY TRANSPORTATION DIVISION, WHICH INVOLVES IN TRANSPORTATION OF COAL PRODUCTS TO PORTS AND FOREIGN MARKETS THROUGH RAILWAY LINES INCLUDING SHUOHUANG, SHENSHUO, DAZHUN, BAOSHEN AND HUANGWAN RAIL LINES; PORT TRANSPORTATION DIVISION, WHICH INVOLVES IN OPERATION OF HUANGHUA PORT AND TIANJIN COAL DOCK, PROVIDING COAL TRANSPORTATION SERVICES, AS WELL AS SHIPPING BUSINESS, AMONG OTHERS."
SAIR.SG,SG1V61937297,Singapore Airlines,"SINGAPORE AIRLINES LIMITED IS A PASSENGER AIR TRANSPORTATION COMPANY. THE COMPANY, TOGETHER WITH ITS SUBSIDIARIES, IS ENGAGED IN PASSENGER AND CARGO AIR TRANSPORTATION, ENGINEERING SERVICES, TRAINING OF PILOTS, AIR CHARTERS AND TOUR WHOLESALING AND RELATED ACTIVITIES. THE COMPANY CONSISTS OF 101 AIRCRAFTS. THE COMPANY OPERATES IN FOUR SEGMENTS: AIRLINE OPERATIONS, CARGO OPERATIONS, ENGINEERING SERVICES AND OTHERS. THE COMPANY'S SUBSIDIARIES ARE SIA ENGINEERING COMPANY LIMITED (SIAEC), SIA CARGO AND SILKAIR (SINGAPORE) PRIVATE LIMITED (SILKAIR). EFFECTIVE DECEMBER 24, 2013, SINGAPORE AIRLINES LTD, A UNIT OF TEMASEK HOLDINGS (PTE) LTD, RAISED ITS INTEREST TO 40.004% FROM 32.67% BY ACQUIRING A 7.334% INTEREST IN TIGER AIRWAYS HOLDINGS LTD FROM DAHLIA INVESTMENTS PTYE LTD AND ARANDA INVESTMENTS PTE LTD."
VOYA,US45685E1064,I N G U.S.,"OFFERS INSURANCE, RETIREMENT AND INVESTMENT PRODUCTS TO ABOU T 13 MIL INDIVIDUAL AND INSTITUTIONAL CUSTOMERS IN THE U.S. 2012 REVENUES BY SEGMENT IN %: INDIVIDUAL LIFE 33; RETIREMEN T 27; ANNUITIES 16; EMPLOYEE BENEFITS 15; INVESTMENT MANAGEMENT 6; AND CLOSED BLOCKS AND OTHER 3. ASSETS UNDER MANAGEME NT IN 2012 TOTALED $247 BIL VS $230 BIL IN 2011. ING GROUP H OLDS 75% OF COMPANY'S COMMON STOCK."
SDR.GB,GB0002405495,Schroders,"SCHRODERS PLC (SCHRODERS) IS THE PARENT COMPANY OF AN INTERNATIONAL ASSET MANAGEMENT AND PRIVATE BANKING GROUP. SCHRODERS OPERATES THREE BUSINESS SEGMENTS: ASSET MANAGEMENT, PRIVATE BANKING AND GROUP. ASSET MANAGEMENT INCLUDES THREE DIVISIONS: INVESTMENT, WHICH CONSISTS OF ITS PORTFOLIO MANAGEMENT, RESEARCH AND DEALING FUNCTIONS ACROSS A PRODUCT RANGE COVERING EQUITIES, FIXED INCOME, MULTI-ASSET AND ALTERNATIVES; DISTRIBUTION, WHICH EMPLOYS PEOPLE GLOBALLY, SPECIALISING IN SALES, CLIENT SERVICE, MARKETING, PRODUCT DEVELOPMENT AND PRODUCT MANAGEMENT, AND SERVING INSTITUTIONAL AND INTERMEDIARY SALES CHANNELS, AND INFRASTRUCTURE, WHICH EMPLOYS PEOPLE IN THE INFORMATION TECHNOLOGY, OPERATIONS, FINANCE, RISK MANAGEMENT, HUMAN RESOURCES, LEGAL, COMPLIANCE AND INTERNAL AUDIT. PRIVATE BANKING OFFERS INVESTMENT MANAGEMENT AND SPECIALIST BANKING SERVICES TO HIGH NET WORTH INDIVIDUALS. EFFECTIVE JULY 2, 2013"
LLL,US5024241045,L 3 Communications Hldgs,"MANUFACTURES SECURE INTELLIGENCE COMMUNICATIONS SYSTEMS, IMA GING PRODUCTS AND ARMING DEVICES FOR MISSILES. 2012 REVENUES BY SEGMENT IN %: ELECTRONIC SYSTEMS 43; NATIONAL SECURITY S OLUTIONS 11; INTELLIGENCE/SURVEILLANCE/RECONNAISSANCE SYSTEMS 27; AND AIRCRAFT MODERNIZATION/MAINTENANCE 19. REVENUES B Y AREA IN %: U.S. 81; U.K. 3; CANADA 2; GERMANY 2; AUSTRALIA 1; ITALY 1; AND OTHER 10. U.S. DEPARTMENT OF DEFENSE ACCOUN TED FOR 71% OF REVENUES."
DDD,US88554D2053,Three D Systems Corp,"MANUFACTURES PRINTING, PROTOTYPING AND MANUFACTURING SYSTEMS TO PRODUCE 3-D OBJECTS FROM COMPUTER DATA. PRODUCTS ARE USE D TO GENERATE CONCEPT MODELS, MASTER/EXPENDABLE PATTERNS, SU RGICAL MODELING AND FUNCTIONAL PROTOTYPES FOR AEROSPACE, COMPUTER, ELECTRONIC, AND MEDICAL APPLICATIONS. 2012 REVENUES BY SEGMENT IN %: PRINTERS 36; SERVICES 35; AND MATERIALS 29. REVENUES BY AREA IN %: U.S. 56; ASIA PACIFIC 16; GERMANY 11 ; AND OTHER EUROPE 17."
ASC.GB,GB0030927254,Asos,"ASOS PLC IS THAT OF A HOLDING COMPANY. THE PRINCIPAL ACTIVITY OF ITS SUBSIDIARY UNDERTAKINGS IS THAT OF INTERNET RETAILING. ASOS.COM IS A GLOBAL ONLINE FASHION AND BEAUTY RETAILER, OFFERING OVER 50,000 OWN LABEL AND BRANDED PRODUCT LINES ACROSS WOMENSWEAR AND MENSWEAR, TO CUSTOMERS IN OVER 190 COUNTRIES FROM ITS CENTRAL DISTRIBUTION CENTRE IN THE UNITED KINGDOM. THROUGH ITS GLOBAL FREE SHIPPING OFFERING, ASOS DELIVERS THESE PRODUCTS TO CUSTOMERS FOR FREE IN OVER 190 COUNTRIES FROM ITS CENTRAL DISTRIBUTION CENTRE IN THE UNITED KINGDOM (BARNSLEY). ALONGSIDE GLOBAL FREE SHIPPING, CUSTOMERS CAN ALSO CHOOSE A VARIETY OF OTHER PAID DELIVERY METHODS AND SPEEDS IN EACH TERRITORY. IT SOURCES BRANDS FROM WORLDWIDE AND HAS OVER 1,000 BRANDS IN ITS, PORTFOLIO INCLUDING AMERICAN APPAREL, DENIM & SUPPLY AND POLO BY RALPH LAUREN, JACK & JONES, CHEAP MONDAY AND ZADIG AND VOLTAIRE. AS OF MARCH 31, 2012, IT HAD 7.9"
HFC,US4361061082,Hollyfrontier Corp,"ENGAGED IN PRODUCTION OF HIGH VALUE LIGHT PETROLEUM PRODUCTS SUCH AS GASOLINE, DIESEL FUEL AND JET FUEL. ALSO MANUFACTUR ES ASPHALT PRODUCTS. AS OF 12/12, OWNED/OPERATED FIVE REFINE RIES WITH AGGREGATE CRUDE CAPACITY OF 443,000 BBLS PER DAY. 2012 REVENUES BY PRODUCT IN %: GASOLINES 50; DIESEL FUELS 31 ; JET FUELS 6; ASPHALT 3; LUBRICANTS 3; AND OTHER 7. SINCLAI R AND SHELL OIL ACCOUNTED FOR 12% AND 10% OF THE REVENUES, R ESPECTIVELY."
RENE.JP,JP3164720009,Renesas Electronics,"RENESAS ELECTRONICS CORPORATION IS A SEMICONDUCTOR MANUFACTURER. THE MICROCONTROLLER DIVISION ENGAGES IN THE RESEARCH, DESIGN, DEVELOPMENT, MANUFACTURE, SALE AND SERVICE OF MICROCONTROLLERS FOR AUTOMOBILES, INDUSTRIAL MACHINERY, CONSUMER ELECTRONICS AND COMPUTERS. THE ANALOG AND POWER SEMICONDUCTOR DIVISION PROVIDES POWER METAL-OXIDE SEMICONDUCTOR FIELD-EFFECT TRANSISTORS, MIXED-SIGNAL INTEGRATED CIRCUITS (ICS), INSULATED GATE BIPOLAR TRANSISTORS, DIODES, SMALL-SIGNAL TRANSISTORS, DISPLAY DRIVER ICS AND OTHER COMPOUND SEMICONDUCTORS. THE SYSTEM-ON-CHIP (SOC) DIVISION OFFERS SEMICONDUCTORS VARIOUS APPLICATIONS. IT ALSO INVOLVES IN THE CONTRACTED PRODUCTION AND DEVELOPMENT OF SEMICONDUCTORS. ON OCTOBER 1, 2013, IT MERGED WITH A WHOLLY OWNED SUBSIDIARY RENESAS ELECTRONICS SALES CO., LTD AS THE SURVIVING COMPANY. IN NOVEMBER 2013, IT SOLD 50.03% STAKE IN SHOUGANG NEC ELECTRONICS CO., LTD TO SHOUGANG. "
IS3.BR,BRITSAACNOR0,Itausa On,"ITAUSA INVESTIMENTOS ITAU SA, FORMERLY INVESTIMENTOS ITAU SA, IS A BRAZIL-BASED HOLDING COMPANY PRIMARILY ENGAGED IN THE FINANCIAL SECTOR. THE COMPANY OPERATES IN TWO AREAS: FINANCIAL SERVICES AND INDUSTRIAL SERVICES. THROUGH ITS AFFILIATED COMPANY ITAU UNIBANCO HOLDING SA, IT IS INVOLVED IN THE MARKET OF FINANCIAL SERVICES, INCLUDING CREDITS, INSURANCE POLICIES, INVESTING TOOLS, CREDIT CARDS, PENSION PLANS, INTERNATIONAL TRADE AND BUSINESS TRANSACTIONS PROCESSING, AMONG OTHERS. THROUGH ITS SUBSIDIARY ITAUTEC SA, THE COMPANY IS ENGAGED IN THE PROVISION OF INFORMATION TECHNOLOGY (IT) EQUIPMENT, AUTOMATION PRODUCTS AND SERVICES. DURATEX SA, THE COMPANY'S AFFILIATED ENTERPRISE, IS ACTIVE IN THE PRODUCTION OF WOOD PANELS, CHINA AND METAL SANITARY FITTINGS. THROUGH ITS SUBSIDIARY ELEKEIROZ SA, THE COMPANY IS ALSO ENGAGED IN THE MANUFACTURE OF CHEMICAL AND PETROCHEMICAL PRODUCTS."
KMR,US49455U1007,Kinder Morgan Mgmt Llc,"MLP THAT MANAGES AND HOLDS A 12.8% LIMITED INTEREST IN KINDE R MORGAN ENERGY LP (KMP) WHICH HAS INTERESTS IN OR OPERATES 46,000 MILES OF PIPELINES, 180 TERMINALS, 113 LIQUID AND BUL K TERMINAL FACILITIES AND OVER 35 RAIL TRANSLOADING FACILITIES WHICH TOGETHER DELIVER BULK PETROLEUM, PETROCHEMICAL AND OTHER LIQUIDS. 2012 REVENUES BY SEGMENT IN %: NATURAL GAS P IPELINES 45; CO2 19; PRODUCTS PIPELINES 16; TERMINALS 16; AN D KINDER CANADA 4."
YWU.CN,CNE000000VQ8,Wuliangye Yibin 'A',"WULIANGYE YIBIN CO.,LTD. SPECIALIZES IN THE MANUFACTURING AND DISTRIBUTION OF LIQUOR AND RELATED PRODUCTS. THE COMPANY'S MAIN LIQUOR PRODUCT IS WULIANGYE, WHICH IS MADE FROM FIVE CROPS, INCLUDING BROOMCORN, RICE, GLUTINOUS RICE, WHEAT AND CORN. THE OTHER LIQUOR OFFERINGS INCLUDE WULIANGCHUN, WULIANGSHEN, WULIANGCHUN, LIUHEYE, CHANGSANJIAO, LIANGHUCHUN, XIANDAIREN, JINLIUFU, LIUYANGHE, LAOZUOFANG AND JINGJIU, AMONG OTHERS. THE COMPANY IS ALSO INVOLVED IN PRINTING BUSINESS, PLASTIC PRODUCT BUSINESS AND GLASS BOTTLE BUSINESS, AMONG OTHERS. THE COMPANY DISTRIBUTES ITS PRODUCTS THROUGHOUT THE DOMESTIC MARKETS, AND EXPORTS TO OVERSEAS MARKETS, VIA TRADING COMPANY."
